"+6281122334455","+6282123456789","Halo! Sudah coba promo terbaru dari kami? Diskon besar menanti, ayo cek sekarang!"
"+6283123456789","+6284123456789","Hai teman, ada berita seru nih! Kamu bisa dapatkan hadiah spesial dengan klik link berikut: [link]"
"+6285123456789","+6286123456789","Penting: Jangan lupa bayar tagihan listrikmu sebelum tanggal 5 ya. Terima kasih!"
"+6287123456789","+6288123456789","Hei, ada promo cashback 50% di aplikasi kita. Jangan sampai kelewatan!"
"+6289123456789","+6282123456789","Halo! Akun kamu perlu verifikasi. Klik di sini untuk melanjutkan."
"+6281122334455","+6283123456789","Selamat! Kamu telah terpilih untuk survei eksklusif kami. Berikan pendapatmu sekarang!"
"+6284123456789","+6285123456789","Hai, ingat ya, jangan lupa istirahat sejenak di tengah kesibukanmu."
"+6286123456789","+6287123456789","Halo! Ramalan cuaca bilang bakal cuaca bagus. Cocok buat jalan-jalan santai!"
"+6288123456789","+6289123456789","Hi, teman! Jangan lupa ajak keluarga dan temanmu ke acara kita besok ya. Seru loh!"
"+6282123456789","+6283123456789","Halo! Kami baru saja memperbarui kebijakan privasi kami. Baca lebih lanjut di [link]"
"+6284123456789","+6285123456789","Selamat! Kamu berhak mendapatkan voucher belanja senilai Rp 500.000. Klaim sekarang!"
"+6286123456789","+6287123456789","Hai, mau info terbaru? Kunjungi website kita di [link] untuk penawaran eksklusif."
"+6288123456789","+6289123456789","Hi, teman! Jangan lupa daftar untuk acara webinar kami besok. Topik menarik menanti!"
"+6282123456789","+6283123456789","Halo! Yuk, ikuti kuis kami dan menangkan hadiah menarik. Klik di sini untuk berpartisipasi."
"+6284123456789","+6285123456789","Selamat! Kamu berhasil mendapatkan potongan harga spesial. Gunakan kode promo: [KODE]"
"+6286123456789","+6287123456789","Hi! Kamu baru saja mendapat diskon tambahan 20% untuk produk favoritmu. Ayo belanja sekarang!"
"+6288123456789","+6289123456789","Halo! Apa kabar? Jangan lupa ajak teman-temanmu untuk bergabung di grup kita ya."
"+6282123456789","+6283123456789","Selamat! Kamu mendapatkan diskon tambahan 15% di outlet kami. Tampilkan SMS ini untuk klaim."
"+6284123456789","+6285123456789","Hai, teman! Ada diskon besar di restoran favoritmu. Yuk, makan malam bareng!"
"+6286123456789","+6287123456789","Hi, sudah mencoba produk terbaru dari kami? Berikan feedbackmu dan dapatkan voucher belanja."
"+6288123456789","+6289123456789","Halo! Jangan lewatkan penawaran eksklusif untuk pelanggan setia kami. Cek sekarang!"
"+6282123456789","+6283123456789","Penting: Perbarui aplikasi kami untuk mendapatkan fitur terbaru dan peningkatan performa."
"+6284123456789","+6285123456789","Hei, ada promo belanja online hari ini. Diskon hingga 70%! Jangan sampai kelewatan."
"+6286123456789","+6287123456789","Hai! Kami punya kabar baik nih. Kamu mendapatkan hadiah spesial dari kami. Klaim sekarang!"
"+6288123456789","+6289123456789","Halo, sudah mencoba menu baru di restoran kami? Diskon 30% untuk pembelian pertama."
"+6282123456789","+6283123456789","Hi! Jangan lupa ajak teman-temanmu untuk bergabung di acara seru kita akhir pekan ini."
"+6284123456789","+6285123456789","Hai! Sudah lihat promo terbaru di aplikasi pesan antar kami? Diskon besar-besaran menanti!"
"+6286123456789","+6287123456789","Selamat! Kamu mendapatkan cashback 20% untuk pembayaran menggunakan kartu kredit kami. Gunakan sekarang!"
"+6288123456789","+6289123456789","Halo, teman! Ada penawaran spesial untukmu. Kunjungi toko kami dan dapatkan diskon ekstra."
"+6282123456789","+6283123456789","Hi! Sudah coba produk skincare terbaru dari kami? Rasakan perubahan positif pada kulitmu!"
"+6284123456789","+6285123456789","Hai! Yuk, ajak teman-temanmu untuk bergabung di acara seru kita akhir pekan ini."
"+6286123456789","+6287123456789","Halo! Jangan lewatkan workshop menarik kami besok. Ayo daftar sekarang di [link]."
"+6288123456789","+6289123456789","Selamat! Kamu mendapatkan diskon tambahan 15% di outlet kami. Tampilkan SMS ini untuk klaim."
"+6282123456789","+6283123456789","Hi, teman! Jangan lupa datang ke event kami besok ya. Ada banyak keseruan dan doorprize menarik."
"+6284123456789","+6285123456789","Hai! Kami baru saja merilis versi baru dari aplikasi kami. Update sekarang untuk pengalaman terbaik."
"+6286123456789","+6287123456789","Halo, teman! Ada promo spesial untuk kamu. Kunjungi toko kami dan dapatkan diskon ekstra."
"+628112345678","+628212345678","Hai! Gimana kabarnya? Kapan-kapan kita ketemu yuk."
"+628312345678","+628412345678","Hi! Ingat besok kita makan siang bareng ya. Seneng banget bisa ketemu kamu!"
"+628512345678","+628612345678","Hai! Film favorit kita tayang di TV malam ini. Siapin popcornnya ya!"
"+628712345678","+628812345678","Halo! Udah denger belum tentang kafe baru di pusat kota? Kita harus coba bareng nih."
"+628912345678","+628212345678","Hai! Semoga hari kamu menyenangkan. Ada rencana seru buat akhir pekan?"
"+628112345678","+628312345678","Halo! Aku nemuin artikel menarik, mungkin kamu suka. Ini linknya: [link artikel]"
"+628412345678","+628512345678","Hai! Ingat ya, jangan lupa istirahat sejenak di tengah kesibukanmu."
"+628612345678","+628712345678","Halo! Ramalan cuaca bilang bakal cuaca bagus. Cocok buat jalan-jalan santai!"
"+628812345678","+628912345678","Hai! Aku nemuin meme lucu, pengen aku bagikan. Cek deh: [link meme]"
"+628212345678","+628312345678","Hai! Aku nyoba resep baru dan enak banget. Pengen coba juga nggak?"
